date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:26	44296/44296	---MCZ	200	added ('OK')	text/html	etag:W/%22ad08-5a3f801162a40%22	https://paul-themes.com/html/hayley/?storefront=envato-elements	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/index04b9.html	(from )
16:54:26	275/275	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Oct%202025%2021:52:39%20GMT	https://paul-themes.com/robots.txt		(from )
16:54:27	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a3-26f1b%22	https://paul-themes.com/html/hayley/css/bootstrap.min.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/bootstrap.min.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:27	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a5-d17%22	https://paul-themes.com/html/hayley/css/owl.carousel.min.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/owl.carousel.min.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:27	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a5-3f5%22	https://paul-themes.com/html/hayley/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/owl.theme.default.min.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:27	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a2-e311%22	https://paul-themes.com/html/hayley/css/animate.min.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/animate.min.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:28	2691/2691	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a4-a83%22	https://paul-themes.com/html/hayley/css/jquery.pagepiling.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/jquery.pagepiling.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:28	12795/12795	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a4-31fb%22	https://paul-themes.com/html/hayley/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/jquery.fancybox.min.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:28	28260/28260	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a5-6e64%22	https://paul-themes.com/html/hayley/css/LineIcons.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/LineIcons.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:28	35633/35633	---MCZ	200	added ('OK')	text/css	etag:W/%225ea1c6a6-8b31%22	https://paul-themes.com/html/hayley/css/style.css	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/style.css	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:29	2912/2912	---M--	200	added ('OK')	image/png	etag:%225ea1c6b8-b60%22	https://paul-themes.com/html/hayley/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/apple-touch-icon.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:29	1540/1540	---M--	200	added ('OK')	image/png	etag:%225ea1c6b9-604%22	https://paul-themes.com/html/hayley/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/favicon-32x32.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:29	1323/1323	---M--	200	added ('OK')	image/png	etag:%225ea1c6b9-52b%22	https://paul-themes.com/html/hayley/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/favicon-16x16.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:30	424/424	---M--	200	added ('OK')	text/html	etag:%221a8-5a3f80293a280%22	https://paul-themes.com/html/hayley/img/favicons/site.webmanifest	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/site.html	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:30	869/869	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ea1c6ba-365%22	https://paul-themes.com/html/hayley/img/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/safari-pinned-tab.svg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:30	27198/27198	---M--	200	added ('OK')	image/x-icon	etag:%225ea1c6b9-6a3e%22	https://paul-themes.com/html/hayley/img/favicons/favicon.ico	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/favicon.ico	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:30	258/258	---MCZ	200	added ('OK')	application/xml	etag:W/%22102-5a3f802751e00%22	https://paul-themes.com/html/hayley/img/favicons/browserconfig.xml	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/favicons/browserconfig.xml	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:31	944589/944589	---M--	200	added ('OK')	image/jpeg	etag:%225ea1c6ae-e69cd%22	https://paul-themes.com/html/hayley/img/bg-personal-project-1.jpg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/bg-personal-project-1.jpg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:32	745253/745253	---M--	200	added ('OK')	image/jpeg	etag:%225ea1c6b6-b5f25%22	https://paul-themes.com/html/hayley/img/bg-personal-project-2.jpg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/bg-personal-project-2.jpg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:32	259383/259383	---M--	200	added ('OK')	image/jpeg	etag:%225ea1c6b0-3f537%22	https://paul-themes.com/html/hayley/img/bg-personal-project-4.jpg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/bg-personal-project-4.jpg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:32	6768/6768	---M--	200	added ('OK')	image/png	etag:%225ea1c6b6-1a70%22	https://paul-themes.com/html/hayley/img/pic1.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic1.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:32	165413/165413	---M--	200	added ('OK')	image/jpeg	etag:%225ea1c6af-28625%22	https://paul-themes.com/html/hayley/img/bg-personal-project-3.jpg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/bg-personal-project-3.jpg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:32	5243/5243	---M--	200	added ('OK')	image/png	etag:%225ea1c6b6-147b%22	https://paul-themes.com/html/hayley/img/pic2.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic2.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:32	3131/3131	---M--	200	added ('OK')	image/png	etag:%225ea1c6b6-c3b%22	https://paul-themes.com/html/hayley/img/pic3.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic3.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:33	13624/13624	---M--	200	added ('OK')	image/png	etag:%225ea1c6b2-3538%22	https://paul-themes.com/html/hayley/img/pic-client-1.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-1.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:33	2890/2890	---M--	200	added ('OK')	image/png	etag:%225ea1c6b3-b4a%22	https://paul-themes.com/html/hayley/img/pic-client-2.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-2.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:33	2673/2673	---M--	200	added ('OK')	image/png	etag:%225ea1c6b3-a71%22	https://paul-themes.com/html/hayley/img/pic-client-3.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-3.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:34	1580/1580	---M--	200	added ('OK')	image/png	etag:%225ea1c6b3-62c%22	https://paul-themes.com/html/hayley/img/pic-client-4.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-4.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:34	8605/8605	---M--	200	added ('OK')	image/png	etag:%225ea1c6b4-219d%22	https://paul-themes.com/html/hayley/img/pic-client-5.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-5.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:34	2871/2871	---M--	200	added ('OK')	image/png	etag:%225ea1c6b5-b37%22	https://paul-themes.com/html/hayley/img/pic-client-6.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-6.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:35	13941/13941	---M--	200	added ('OK')	image/png	etag:%225ea1c6b6-3675%22	https://paul-themes.com/html/hayley/img/pic-client-7.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-7.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:35	10926/10926	---M--	200	added ('OK')	image/png	etag:%225ea1c6b6-2aae%22	https://paul-themes.com/html/hayley/img/pic-client-8.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic-client-8.png	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:35	4143/4143	---M--	200	added ('OK')	image/jpeg	etag:%225ea1c6b7-102f%22	https://paul-themes.com/html/hayley/img/pic4.jpg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic4.jpg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:36	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/code.jquery.com/jquery-1.12.4.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:36	275/275	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Oct%202025%2021:52:49%20GMT	https://paul-themes.com/html/hayley/js/jquery.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/jquery.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:36	80698/80698	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ea1c6bd-13b3a%22	https://paul-themes.com/html/hayley/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/bootstrap.bundle.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:37	44342/44342	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ea1c6c1-ad36%22	https://paul-themes.com/html/hayley/js/owl.carousel.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/owl.carousel.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:37	111737/111737	---M--	200	added ('OK')	image/jpeg	etag:%225ea1c6b7-1b479%22	https://paul-themes.com/html/hayley/img/pic5.jpg	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/img/pic5.jpg	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:37	10149/10149	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ea1c6c0-27a5%22	https://paul-themes.com/html/hayley/js/jquery.pagepiling.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/jquery.pagepiling.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:37	68253/68253	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ea1c6bf-10a9d%22	https://paul-themes.com/html/hayley/js/jquery.fancybox.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/jquery.fancybox.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:37	23070/23070	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ea1c6c0-5a1e%22	https://paul-themes.com/html/hayley/js/jquery.validate.min.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/jquery.validate.min.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:43	5980/5980	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225eaafc4c-175c%22	https://paul-themes.com/html/hayley/js/script.js	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/js/script.js	(from https://paul-themes.com/html/hayley/?storefront=envato-elements)
16:54:43	4976/4976	---M--	200	added ('OK')	image/png	etag:%225ea1c6a6-1370%22	https://paul-themes.com/html/hayley/css/owl.video.play.png	C:/My%20Web%20Sites/Bryan%20Portafolio/paul-themes.com/html/hayley/css/owl.video.play.png	(from https://paul-themes.com/html/hayley/css/owl.carousel.min.css)
